n,Sr No,Folder,Picture,Composition,composition_final,Element,Fraction,Frac,H2_W%,Pressure,Temperature,Che_pot,AN,Period,AR,Cr,VWR,EN,Density,EA,MP,BP,VEC,FIE,TC,BM,HF,MV,Mass,SH,M-M_Eng,M-M_Bond,M-H_Bond,M-H_Eng,formation_H,en_at_H,formation_M,en_at_M,vol_H,vol_M,vol_diff,EN.Diff,M-H.EN.Diff,Atomic.Size.Diff,dSmix,ele_lst,frac_lst,Element_corrected,frac_corrected,composition_final
10,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.261731173448868,0.0473635343338843,584,-1814.34118651876,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
11,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.267978149976235,0.0521050527886548,584,-1582.70600138802,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
12,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.274223864392527,0.057262633167265,584,-1353.55434788688,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
13,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.280469421044934,0.062922686463446,584,-1124.71313583945,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
14,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.286716239808416,0.0692129660935452,584,-893.388392162402,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
15,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.292962585280246,0.0761028756066318,584,-662.994972846461,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
16,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.299208299696538,0.083635862850242,584,-433.843319345328,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
17,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.305453856348945,0.0919027450214076,584,-205.002107297894,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
18,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.311700990640196,0.101115970363615,584,26.9435192865586,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
19,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.317947020584256,0.111153282947244,584,256.716055695079,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
20,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.32419241947278,0.122124473105687,584,485.246826288812,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
21,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.330438922708493,0.134298710274241,584,715.95068705846,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
22,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.336685741471975,0.147724336055133,584,947.275430735502,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
23,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.343628818658098,0.162387453396976,584,1177.03613882663,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
24,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.348926665527628,0.178554226554331,584,1407.45224105627,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
25,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.35643584718109,0.194717920571909,584,1617.8448455782,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
26,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.363890782329714,0.211126668774468,584,1814.26961992035,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
27,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.371346309092903,0.229027965909952,584,2011.85854971388,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
28,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.379987668092574,0.248616653976287,584,2211.10375521779,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
29,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.388708168217929,0.269316479019106,584,2405.26749777092,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
30,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.406583977002669,0.292279004987659,584,2603.91449872038,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
31,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.424719915894953,0.316543809442366,584,2797.53874845503,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
32,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.439499943048067,0.342363059646911,584,2987.90316909374,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
33,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.455919898906804,0.373286368158458,584,3197.84544355236,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
34,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.474404146649117,0.403642916743674,584,3387.66275377197,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
35,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.49227891869976,0.437690476968703,584,3584.26971088281,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
36,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.508926731549683,0.474184354738771,584,3778.69849941734,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
37,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.527420217402525,0.516599808617506,584,3986.69419358426,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
38,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.55075799017534,0.536475949363203,584,4078.3516474059,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
39,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.576508324062322,0.539719097149058,584,4092.98422469198,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
